Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	30.01.2019																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bhutan	BTN	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						4.382592764	7.466401275	6.640433516	10.04206382	6.312594644	6.684955291	0.403870953	14.69955381	5.505595144	5.708849389	8.764146894	9.296758652	8.186462433	12.85199001	8.047819758	8.056127019	12.48539754	10.5096307	7.435308155	2.286209091	5.266308725	4.881217483	3.08507447	3.790932586	5.857933983	5.411194945	3.110660422	5.653072455	4.85125114	5.985510627	8.607164662	9.180739187	5.864394676	7.280510108	3.648686719	4.491063885	5.492735748	
Botswana	BWA	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.933946527	1.360735324	1.176826763	2.547498874	3.846275629	5.788742008	7.581551072	2.166149449	1.584355256	5.978593381	4.664180023	10.77542219	9.906612342	12.79692414	16.46728186	11.31552988	4.93738331	12.46681136	21.85636174	10.19028253	-0.088322838	3.695418373	8.745485397	15.42698507	22.89365943	14.06124987	12.69406983	22.69705957	13.64877726	6.300018284	5.177710042	6.63928073	13.06470039	9.46380484	7.15529484	16.11219538	4.990608443	9.967270967	14.23520845	14.17096689	8.312825089	1.187370705	3.25908433	10.07878862	15.47170656	7.473131023	4.9276071	4.72939345	6.462525782	8.919999829	13.95812584	0.193771858	2.309119073	11.90390297	1.765650001	12.06679694	3.148524441	
Central African Republic	CAF	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		4.635018524	4.888746868	4.674475701	7.54197105	5.039138701	4.475411048	-0.77441723	16.17240106	-3.852687713	4.4908797	4.938268289	4.644237089	2.199490262	5.380999705	19.32621621	25.99662693	11.37246282	9.228393702	10.92663398	18.26537917	13.87274605	20.91423405	11.10288136	1.419401065	34.14517535	-3.429037228	-2.303351183	2.62405594	2.4562048	1.836645106	-0.389815608	2.782647022	-3.433020318	24.41256968	9.897975858	-3.543045733	0.823381001	-0.414154095	4.08471549	8.506601078	0.425938675	-2.371881706	1.336418631	-4.439785938	4.188437082	3.334045939	1.83823165	7.077070724	3.482512932	2.009031942	1.961844723	2.69369338	6.997035407	11.0686844	6.16227331	6.315285335	4.510380595	
Canada	CAN	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		0.458074541	1.414210834	2.061158446	2.599249377	3.359587158	4.980626773	4.401584956	3.635828763	4.505785272	6.056642029	4.83185463	5.90012527	9.686715636	15.19809743	10.69515381	9.496907424	6.796543933	6.602965643	9.98551538	10.07159878	10.77663486	8.83802407	5.76261687	3.527952934	3.328355564	3.067263117	4.761032693	4.54444536	4.713338852	3.423340044	3.094211252	1.50146792	1.302939151	1.470340198	2.260575656	1.744551308	1.14132265	-0.180438535	1.903893879	4.34127359	1.658242746	1.244227585	3.255939918	3.280222606	3.147044049	2.613426177	3.31877548	4.004975858	-2.29424686	2.874062219	3.242049692	1.221252376	1.585155038	1.970540017	-0.755602608	0.612168438	2.273096464	
Central Europe and the Baltics	CEB	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																		25.96062574	28.36254767	27.35554944	17.97056016	10.16997517	8.255724117	6.162528147	5.447243694	5.088279816	3.952387613	4.293393968	4.912219158	3.418501763	3.972416217	5.409139246	5.689190514	2.783282868	1.107474183	3.22912192	2.349719332	1.431897907	1.027470375	0.96729871	0.950554934	3.058498607	
Switzerland	CHE	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						5.661107334	7.348040995	2.36688414	3.759637907	2.270730617	3.034593932	2.193482424	2.790238439	3.458460444	4.60362124	5.409104839	2.124635025	2.322024024	1.184387088	0.737757712	0.162231876	-0.410920397	-0.117098605	0.11512745	1.501299766	1.018505219	-0.253624683	1.126917822	0.343441109	0.690188432	2.095783718	2.414661544	2.02727348	0.361845093	0.317189436	0.342286529	-0.174018718	0.025296072	-0.625407758	-0.600769414	-0.566143534	0.353549558	
Channel Islands	CHI	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																								3.909630979	3.892317592	3.301635531	4.382725567	4.353715494	3.797571335	2.504709657	3.278931607	3.336333251											
Chile	CHL	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		6.568981591	12.94851643	43.82042735	47.93436207	38.84009537	28.58136081	25.14488754	33.46867015	40.16053256	40.57578593	17.67167165	87.59486369	414.810311	678.6084622	347.2012094	247.3085085	101.7736219	56.28464055	47.9776851	29.1176599	11.56885254	7.656347256	30.96367249	15.73753209	41.68190573	21.45489666	25.84841898	21.71788119	13.75603177	22.4709371	21.3909823	13.46437703	12.16441967	14.46398495	11.68071811	3.371361756	3.061631778	1.042537529	2.279442498	4.271839188	3.860901228	3.392072989	4.578857544	7.849482044	7.642888649	12.16220724	5.338018812	-0.053439049	4.654764991	8.962293747	3.112906925	1.130160918	1.976645267	5.923605677	4.96949871	4.725454632	4.651401381	
China	CHN	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		15.25399374	-0.114964918	-2.62161065	-0.362038484	0.869780805	-1.562070833	0.813497276	1.363575754	-3.792528717	-2.61457045	0.665937398	0.074185618	0.208465019	0.277735673	-1.131175156	-0.106286227	1.093771778	1.364957967	3.59170195	3.778198017	2.299815098	-0.064555702	1.097460334	4.991894025	10.19704292	4.678871688	5.052876399	12.09564775	8.623799198	5.724589743	6.683985627	8.198247654	15.20220481	20.60060944	13.6705391	6.501095946	1.622160415	-0.892589361	-1.268409649	2.06146138	2.043115008	0.604850658	2.605441209	6.954321801	3.902639778	3.927910852	7.805018466	7.827406952	-0.133898166	6.944445338	8.152151195	2.392484151	2.225234148	0.828373663	0.093333428	1.138017622	4.05448338	
Cote d'Ivoire	CIV	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		2.990063464	3.004819815	3.013917156	2.906177951	3.078867804	0.041603225	1.227751834	5.793799978	1.853917847	2.990848311	-0.941093871	2.511616428	13.22796897	26.69417134	4.313953661	18.22297325	28.75129183	4.433304639	6.541397131	24.14367711	2.976991159	8.301317584	9.04678191	17.90989589	0.34365707	-2.020404837	-4.075206805	-0.380926013	-1.012406525	-4.523273544	0.66348927	-0.023837136	6.154194292	46.38606943	11.04378986	4.983084576	6.20167537	3.639483253	0.786182072	2.245818787	7.396413417	6.667307076	4.801016887	-2.890620394	1.301305273	1.744017698	2.933142431	8.502569447	2.34574282	5.38642329	1.63542432	3.154865298	3.710481797	3.909362202	3.106147122	-1.068548824	-1.742196242	
